498657:2	498657:2				The rest of the dim sum, though pricey by Chinatown standards, is worth it.
498657:3	498657:3				Steamed fresh so brought hot hot hot to your table.
498657:4	498657:4				The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.
498657:5	498657:5				A few tips: skip the turnip cake, roast pork buns and egg custards.
498657:6	498657:6				These are overpriced and you can get better just around the corner:
498657:7	498657:7				(1) turnip cakes at the little kiosk on east side of Mott St. just south of bayard
498657:8	498657:8				(2) egg custards and pork buns at either bakery on west side of Mott street just south of Canal.
503807:0	503807:0				After passing by this restaurant for sometime I finally decided to go in and have dinner.
503807:1	503807:1				I was pleasantly suprised.
503807:2	503807:2				The food was exceptional.
503807:3	503807:3				The menu consisted of standard brassiere food, better then places like Balthazar etc.
503807:4	503807:4				I choose to go with one of the special, the braised lamb shank in red wine, which was excellent.
503807:5	503807:5				The service was friendly and the atmosphere was casual.
503807:6	503807:6				The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal
505535:0	505535:0				this little place has a cute interior decor and affordable city prices.
505535:1	505535:1				the pad se ew chicken was delicious, however the pad thai was far too oily.
505535:2	505535:2				i would just ask for no oil next time.
507755:0	507755:0				Have eaten at Ginger House several times, and it's always good.
507755:1	507755:1				The fried dumplings are GREAT!
507755:2	507755:2				Finally a reliable Chinese restaurant!
507844:0	507844:0				This place would be so much better served by being run by a group that actually understands customer service.
507844:1	507844:1				The only thing you can do here is walk in and eat .. but planning an event, especially a small, intimate one, forget about it.
507844:2	507844:2				They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place, but also become hostile!
507844:3	507844:3				Nobody at this restaurant will give firm answers about anything and in the end, not one person takes responsibility for anything.
507844:4	507844:4				Terrible, terrible management - deserves to be shut-down.
507937:0	507937:0				Never fails to please.
507937:1	507937:1				delicious bagels, especially when right out of the oven.
507937:2	507937:2				Spreads and toppings are great - though a bit pricey.
507937:3	507937:3				Service is fast and friendly.
507937:4	507937:4				Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.
507937:5	507937:5				But that is highly forgivable.
509227:0	509227:0				Been there, done that, and New York, it's not that big a deal.
509227:1	509227:1				The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.
509227:2	509227:2				If celebrities make you sweat, then your in for a ride, but if your like most around these parts then you'll just yawn and wonder whats with all the hype.
509227:3	509227:3				Rao is a good restaurant, but it's nothing special.
511290:0	511290:0				I've eaten at many different Indian restaurants.
511290:1	511290:1				But after last night, Spice Grill is the only place I'm eating indian cuisine.
511290:2	511290:2				You must try the shrimp appetizers.
511290:3	511290:3				Even my Indian friend couldn't believe how good and tasty everything was.
511290:4	511290:4				This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.
512294:0	512294:0				Great food, great prices, great service.
512294:1	512294:1				If you are looking for a good quality, cheap eats - this is the place.
512925:0	512925:0				it's a perfect place to have a amanzing indian food.
512925:1	512925:1				I really loved the different and inovated touch that's the cheff gives to the food.
512925:2	512925:2				also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!
513395:0	513395:0				I love Ess-a-bagel, but I live on the west side, so I often go to Murray's for convenience.
513395:1	513395:1				Their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience.
513395:2	513395:2				Better than the bagel shop on the corner, but not worth going out of your way for, in my opinion.
513395:3	513395:3				Also a little more expensive than your average bagel place.
513521:0	513521:0				Great bagels made the old-fashioned way.
513521:1	513521:1				The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).
513521:2	513521:2				Drawbacks: service is slow and they don't toast!
519425:0	519425:0				The food was absolutely amazing!!
519425:1	519425:1				The baked clams octopus we shared as appetizers were the best we've ever had!! 
519425:2	519425:2				The lamb was tender so full of flavor, the dessert was divine!!
519425:3	519425:3				The waiter was attentive.
519425:4	519425:4				The place itself is beautiful the bar scene seems to be happening.
521916:0	521916:0				Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.
521916:1	521916:1				Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.
521916:2	521916:2				Dessert is a joke...dont bother
527109:0	527109:0				Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.
527109:1	527109:1				The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.
527109:2	527109:2				The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.
527109:3	527109:3				The wine list is extensive and can easily hike up an otherwise reasonably priced meal.
527109:4	527109:4				Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...
528251:0	528251:0				Fantastic place.
528251:1	528251:1				Cute and decorative.
528251:2	528251:2				A pleasant surprise.
528251:3	528251:3				Go there to relax and feel like your somewhere else.
530517:0	530517:0				Lucky Strike is a great casual place to just grab a bite to eat.
530517:1	530517:1				Yeah the crowd can take it a bit seriously, but it shouldn't.
530517:2	530517:2				Great food, great decor, great service.
530517:3	530517:3				I recommend it!
530517:4	530517:4				Just ignore the trendy wannabes.
535086:0	535086:0				This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!
535086:1	535086:1				(Always ask the bartender for the SEASONAL beer!!!
535086:2	535086:2				Guaranteed to be a tasty experience!)
535086:3	535086:3				Excellent spot for holiday get togethers with co-workers or friends that you haven't seen in a while.
535086:4	535086:4				I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!
535086:5	535086:5				All the people that I bring there go back on their own and bring THEIR friends!
535086:6	535086:6				Go there once and oh yes...you will go back...you will...
535171:0	535171:0				What a great place!
535171:1	535171:1				Not the typical NYC gimmick theme restaurant.
535171:2	535171:2				A cool bar with great food, and tons of excellent beer.
535171:3	535171:3				And even with it's Pub atmosphere they were great to my kids too!
535171:4	535171:4				Loved it!
535248:0	535248:0				Out of the hundreds of Italian restaurants in Queens, this is among the best.
535248:1	535248:1				The shrimp scampi was excellent and the antipasti were plentiful.
535248:2	535248:2				It is expensive but well worth the money.
535248:3	535248:3				If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.
536919:0	536919:0				The only thing more wonderful than the food (which is exceptional) is the service.
536919:1	536919:1				The only thing the waiters don't do for you is wipe your chin when you leave.
536919:2	536919:2				Wonderful at holiday time.
541532:0	541532:0				Cozy romantic atomosphere with only around 15 tables at most.
541532:1	541532:1				Service was very prompt but slightly rushed.
541532:2	541532:2				Food was very good, but not what I would consider out of this world.
541532:3	541532:3				Go here for a romantic dinner but not for an all out wow dining experience.
553097:0	553097:0				My friend from Milan and myself were pleasantly surprised when we arrived and everyone spoke italian.
553097:1	553097:1				Too bad the food wasn't of the same heritage.
553097:2	553097:2				The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.
553097:3	553097:3				A real dissapointment.
553097:4	553097:4				But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.
553097:5	553097:5				They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.
553097:6	553097:6				Priced at upper intermediate range.
555734:0	555734:0				I really liked this place.
555734:1	555734:1				Everything I had was good, and I'm a eater.
555734:2	555734:2				It was pretty inexpensive too.
558423:0	558423:0				This place has the best Chinese style BBQ ribs in the city.
558423:1	558423:1				I also recommend the rice dishes or the different varieties of congee (rice porridge).
558423:2	558423:2				It's great to go for a quick lunch either alone or with a friend.
558423:3	558423:3				It's definately not a place to go if you want to impress someone.
558423:4	558423:4				However, if you want great food at a great price and don't mind the decor, you can't beat this place.
558423:5	558423:5				Quick and friendly service.
558423:6	558423:6				This is one of the best comfort food places in the city.
558423:7	558423:7				It's somewhere you can eat and be happy.
561054:0	561054:0				When I'm feeling stressed by the noise and congestion around my office, I head for Cafe St. Bart's.
561054:1	561054:1				When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.
561054:2	561054:2				The food is wonderful, tasty and filling, and the service is professional and friendly.
561054:3	561054:3				I can't wait for summer, when they serve outside on their gigantic patio.
561054:4	561054:4				Ahhh...
565344:0	565344:0				I recently tried Suan and I thought that it was great.
565344:1	565344:1				This little place definitely exceeded my expectations and you sure get a lot of food for your money.
565344:2	565344:2				The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.
565344:3	565344:3				I have to say that I am pleasantly suprised and I will most likely stop in again if I am in the neighborhood.
571962:0	571962:0				They all know you.
571962:1	571962:1				Good food.
571962:2	571962:2				Good drink.
571962:3	571962:3				How do you rate home?
578016:0	578016:0				I have never had cheescake like this.
578016:1	578016:1				I thought I had died and gone to heaven.
584025:0	584025:0				Great spot, whether looking for a couple of drinks or quiet dinner.
584025:1	584025:1				Warm and friendly in the winter and terrific outdoor seating in the warmer months.
584025:2	584025:2				The food is great and they have a good selecion of wines at reasonable prices.
584025:3	584025:3				Have been several times and it never dissapoints.
608500:0	608500:0				After hearing a lot of great things about the restaurant, and passing by it on a daily basis, we decided to try.
608500:1	608500:1				We were less than impressed.
608500:2	608500:2				While the ambiance and atmosphere were great, the food and service could have been a lot better.
608500:3	608500:3				We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.
608500:4	608500:4				Probably would not go again...
610611:0	610611:0				i've been to sapphire twice and both times the food was fine, if not good.
610611:1	610611:1				stick with the chicken, beef, and lamb dishes.
610611:2	610611:2				i don't usually order wine with indian so i can't comment on their wine list or their wines.
610611:3	610611:3				instead ordered an ice cold beer which to me works with indian.
610611:4	610611:4				service is friendly, and never had a problem walking in and getting a table.
610611:5	610611:5				i would recommend reservations on weekends though.
610611:6	610611:6				skip dessert.
611117:0	611117:0				Best Reuben sandwich ever!
611117:1	611117:1				A classic!
611117:2	611117:2				Don't miss Bloom's on your next trip to Manhatten.
611117:3	611117:3				It was the first place we ate on our first trip to New York, and it will be the last place we stop as we head out of town on our next trip to New York.
611117:4	611117:4				Thanks Bloom's for a lovely trip.
615180:0	615180:0				As a fan of Thai, I have tried quite a few different restaurants in NYC and this one was definitely the worst.
615180:1	615180:1				The food was not fresh, the sauces were bland and very oily.
615180:2	615180:2				It just wasn't Thai.
620892:0	620892:0				Went to Ottimo and was expecting outstanding pizza (as I love La Pizza Fresca).
620892:1	620892:1				Was surprisingly disappointed.
620892:2	620892:2				Pizza was a little soggy.
620892:3	620892:3				Ravioli was good...but I have to say that I found everything a bit overpriced.
620892:4	620892:4				Not enough wines by the glass either.
620892:5	620892:5				Service, however, was excellent...and I liked the setting/atmosphere a lot. 
620892:6	620892:6				Food was just average...if they lowered the prices just a bit, it would be a bigger draw.
624715:0	624715:0				This place is a great bargain.
624715:1	624715:1				Authentic Pakistani food.
624715:2	624715:2				People are always friendly.
624715:3	624715:3				Don't waste money on decor.
624715:4	624715:4				Just straight up cheap, good food.
626269:0	626269:0				Faan is sooo good.
626269:1	626269:1				The best pad thai i've ever had.
626269:2	626269:2				The design and atmosphere is just as good.
626269:3	626269:3				bottles of wine are cheap and good.
626269:4	626269:4				What more could you want?
630914:0	630914:0				The food was actually aweful.
630914:1	630914:1				I'm not picky - but it was actually gross.
630914:2	630914:2				The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.
630914:3	630914:3				Nice atmosphere, the service was very pleasant and the desert was good.
630914:4	630914:4				Wouldn't recomend it for dinner!
632121:0	632121:0				This is the perfect date spot for Williamsburg couples.
632121:1	632121:1				The jukebox plays everything from Italian Opera to The Strokes.
632121:2	632121:2				The food is amazing, rich pastas and fresh doughy pizza.
632121:3	632121:3				Best of all is the warm vibe, the owner is super friendly and service is fast.
632121:4	632121:4				If only they delivered, they'd make a mint!
657129:0	657129:0				go here for the drinks!
657129:1	657129:1				esp. during happy hour!
657129:2	657129:2				enough said!
657129:3	657129:3				the drinks are amazing and half off till 8pm.
657129:4	657129:4				Ask for Usha, the nicest bartender in manhattan.
657129:5	657129:5				My fav was the sassy lassi...
680345:0	680345:0				This is an amazing place to try some roti rolls.
680345:1	680345:1				I really recommend the very simple Unda (Egg) rolls.
680345:2	680345:2				Delicate spices, onions, eggs and a kick-ass roti.
680345:3	680345:3				Amazing!
680390:0	680390:0				Toons has recently been redone, so it's now a very attractive space.
680390:1	680390:1				The food's as good as ever.
680390:2	680390:2				In an area sadly lacking in decent Thai food, this is one of the best spots.
682250:0	682250:0				Went here last night - nice decor, good service, but the food was surprisingly excellent.
682250:1	682250:1				The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.
682250:2	682250:2				Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.
682250:3	682250:3				Can't wait to go back.
682391:0	682391:0				Best drumsticks over rice and sour spicy soup in town!
682391:1	682391:1				Beef noodle soup is good as well.
682391:2	682391:2				The service is good and the resturant is clean.
682391:3	682391:3				Best Taiwanese food in NY!
707917:0	707917:0				I have been to Rao's probably 15 times the past 3 years and it keeps getting better.
707917:1	707917:1				For those that go once and don't enjoy it, all I can say is that they just don't get it.
707917:2	707917:2				Rao's has the best service and atmosphere in NYC.
707917:3	707917:3				Good luck getting a table.
709294:0	709294:0				My roommate and I LOVE this place.
709294:1	709294:1				We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.
709294:2	709294:2				Indoor was very cozy and cute.
709294:3	709294:3				The portion sizes here are huge, and the sushi is good.
709294:4	709294:4				While it's not Nobu, it sure is a great deal and you definitely will leave feeling satisfied and full.
709294:5	709294:5				Staff is very accomodating.
713152:0	713152:0				Excellent dumplings served amid clean, chic decor.
713152:1	713152:1				I got the $10 10-piece dim sum combo, every bite of which was great.
713152:2	713152:2				But $1 for each small piece???
713152:3	713152:3				Not worth it.
713152:4	713152:4				I won't go back unless someone else is footing the bill.
717570:0	717570:0				I came here with my boyfriend for our anniversary because it was highly recommended to him by a friend.
717570:1	717570:1				The decor is very simple but comfortable.
717570:2	717570:2				The food was delicious but do not come here on a empty stomach.
717570:3	717570:3				The portions are small but being that the food was so good makes up for that.
717570:4	717570:4				You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.
717570:5	717570:5				The staff there is very attentive and down to earth.
717570:6	717570:6				I loved it and would go again.
720418:0	720418:0				Great Indian food and the service is incredible.
720418:1	720418:1				The owner truly caters to all your needs.
720418:2	720418:2				When family came in he gave them apps to test their palets, and then ordered for them.
720418:3	720418:3				Everyone was more then happy with his choices.
720418:4	720418:4				Great food and the prices are very reasonable.
720620:0	720620:0				Obviously the Chinese translation of this place does not mean Big Wong, it actually means Great Prosperity.
720620:1	720620:1				The food here does a great service to the name (Cantonese that is...).
720620:2	720620:2				I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork.
720620:3	720620:3				This dish is my favorite and I always get it when I go there and never get tired of it.
720620:4	720620:4				Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.
720620:5	720620:5				Simply some good tasting Chinese food at incredible prices...
720620:6	720620:6				Service is not what you are coming here for...
720620:7	720620:7				Just make sure my ice water is kept full and my tea kettle filled with piping hot tea and that's all the service I need...
720620:8	720620:8				Big Wong is a great place to eat and fill your stomach.
735448:0	735448:0				this place... we stumbled upon it on labor day weekend.
735448:1	735448:1				whoever the jazz duo was, they were on POINT.
735448:2	735448:2				good music, great food, speedy service affordable prices.
735448:3	735448:3				even the wine by the glass was good.
735448:4	735448:4				its a little out of the way if you don't live in the neighborhood, but definitely worth the trip from wherever you are.
737999:0	737999:0				Consistently good Japanese Tapas.
737999:1	737999:1				Same owner as the guy who owns Typhoon, which is just down the street on St. Marks and 1st Ave.
737999:2	737999:2				Always good drinks and service is pretty good;
737999:3	737999:3				Atmosphere is nice and relaxed too...
737999:4	737999:4				A great place to meet up for some food and drinks...  
737999:5	737999:5				Yakitori (bbq meats) is tasty too.
737999:6	737999:6				It's also attached to Angel's Share, which is a cool, more romantic bar...
740923:0	740923:0				Just moved to the neighborhood and we've been trying all the West Village Sushi restaurants.
740923:1	740923:1				If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.
740923:2	740923:2				Price and quality of fish alone will keep us from making a return visit.
740923:3	740923:3				Wasn't going to share but I feel obligated...while sitting at the sushi bar dining we watched the chef accidentally drop a piece of Unagi on the floor and upon retrieving it from the floor proceed to use the piece in the delivery order he was preparing.
740923:4	740923:4				No thanks!!!
744478:0	744478:0				This place, which is only a few months old, is perhaps Queens' biggest secret!
744478:1	744478:1				Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!
746254:0	746254:0				We were seated outside and the waiter spilled red wine and hot tea on myself and my date.
746254:1	746254:1				We were then shooed inside.
746254:2	746254:2				One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.
746254:3	746254:3				We left, never to return.
746254:4	746254:4				With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.
751493:0	751493:0				I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.
751493:1	751493:1				If you are in the area try The Bagel Shoppe on 74th street which is 3 blocks away on 2nd Ave.
751493:2	751493:2				Great bagels, spreads and a good place to hang out in.
754495:0	754495:0				You fellas above says its the best Taiwanese restaurant in town.
754495:1	754495:1				However it is the ONLY Taiwanese restaurant in town.
754495:2	754495:2				The food is okay and the prices here are mediocre.
754495:3	754495:3				You can't say its cheap because food is cheaper in Chinatown.
754495:4	754495:4				They're are better Taiwanese restaurants and they are located in Flushing, Queens.
757762:0	757762:0				Baluchi's has solid food and a nice decor at reasonable prices.
757762:1	757762:1				The only problem is that the manager is a complete incompetent.
757762:2	757762:2				He offers subpar service and has no personality.
757762:3	757762:3				In fact, it appears he is going to go postal at any moment.
757762:4	757762:4				Skip this location and go to the one in Soho.
757762:5	757762:5				There is no excuse for such lousy service!
758263:0	758263:0				I have never before eaten 40 pieces of relatively good nigiri.
758263:1	758263:1				Stuffing yourself with Japanese food is a rare thing.
758263:2	758263:2				You can do it here.
758263:3	758263:3				$20 for all you can eat sushi cannot be beaten.
759781:0	759781:0				I went to Areo on a Sunday afternoon with four of my girlfriends, and spent three enjoyable hours there.
759781:1	759781:1				The restaurant was packed at first, so we waited at the bar for about 20 minutes before we were seated.
759781:2	759781:2				Most of the servers are very attentive, friendly and quite attractive.
759781:3	759781:3				The atmosphere was mostly of an older crowd, but there were a few groups of mid 20's/30 year olds also.
759781:4	759781:4				The vibe is very relaxed and cozy, service was great and the food was excellent!
759781:5	759781:5				Me and my girls will definitely go back.
773720:0	773720:0				Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.
773720:1	773720:1				I would highly recommand requesting a table by the window.
773720:2	773720:2				Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.
872763:0	872763:0				I've eaten at Pizza Gruppo a few times, but more often I order delivery.
872763:1	872763:1				The food is great.
872763:2	872763:2				Personal pans are the perfect size for those hungry nights.
872763:3	872763:3				I heartily recommend.
872763:4	872763:4				There is a downside if you're ordering in -- the delivery guys have MAJOR attitude.
872763:5	872763:5				Never have I had such dramatic delivery guys (a lot of huffing and panting and muttering under breath b/c I live in a walkup) who always seem disappointed with their tips.
872763:6	872763:6				Hey, I think $2+ for a 5 block walk ain't bad.
875139:0	875139:0				Love the scene first off- the place has a character and nice light to it..very fortunate, location wise.
875139:1	875139:1				The pizza was pretty good and huge.
875139:2	875139:2				The price very reasonable.
875139:3	875139:3				We were 4 and got the family size penne a la vodka which was tremendously gigantic portion...a bucket of food literally.
875139:4	875139:4				We got most of it back at home with us.
875139:5	875139:5				I would say that all was fine and tasty but the heaviness on my stomach someting that i can't not mention or undermine.
875139:6	875139:6				The pasta penne was pretty extra buttery, creamy which means a big task to diggest.. tasty at first but i would say that i was full with a slice of pizza and 7 to count, penne...got a little moody afterwards cause was stuffed...lol
929329:0	929329:0				No, really.
929329:1	929329:1				I have eaten a lot of pizza here.
929329:2	929329:2				La Rosa waltzes in, and I think they are doing it the best.
929329:3	929329:3				Interesting selection, good wines, service fine, fun decor.
935633:0	935633:0				I have been twice to this restaurant.
935633:1	935633:1				I love it.
935633:2	935633:2				I plan on stopping by next week as well.
935633:3	935633:3				I found it on a cold night, the perfect spot to warm up.
935633:4	935633:4				I recieved prompt service with a smile.
935633:5	935633:5				To me it exemplifies Soho, cute, artsy, interesting.
935633:6	935633:6				Definately check it out!!!
955711:0	955711:0				This place blew me away...by far my new favorite restaurant on the uppereast side.
955711:1	955711:1				The wine list is extensive and impressive.
955711:2	955711:2				LOVE the atmosphere - felt like I was in Paris.
955711:3	955711:3				The mussels were fantastic and so was the dessert...definitely going to be back very soon.
957145:0	957145:0				I just read Mocaramel's review and felt compelled to respond.
957145:1	957145:1				I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.
957145:2	957145:2				Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.
957145:3	957145:3				I've also been amazed at all the new additions in the past few years: A new Jazz Bar, the most fantastic Dining Garden, the Best Thin Crust Pizzas, and now a Lasagna Menu which is to die for (these are not your average lasagnas)!
957145:4	957145:4				I lOVE THIS PLACE!
957145:5	957145:5				Keep up the good work guys!
958809:0	958809:0				My girlfiends and I ate at O.G. again last night.
958809:1	958809:1				I have to say I have never had a disapointing meal here.
958809:2	958809:2				We could have made a meal of the yummy dumplings from the dumpling menu.
958809:3	958809:3				Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.
958809:4	958809:4				We got a little tipsy from the sake but isn't that what Saturday nights with the girlfriends are all about?
ADLT#8:0	ADLT#8:0				Love Al Di La
ADLT#8:1	ADLT#8:1				I recommend this place to everyone.
ADLT#8:2	ADLT#8:2				Great food.
ADLT#2:0	ADLT#2:0				One of my favorite places in Brooklyn. 
ADLT#2:1	ADLT#2:1				The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.
BFC#4:0	BFC#4:0				Overpriced and not tasty 
BFC#4:1	BFC#4:1				The food here was mediocre at best. 
BFC#4:2	BFC#4:2				It was totally overpriced- fish and chips was about $15.... 
BFC#4:3	BFC#4:3				There are so many other great places to go to eat and drink..... this place is not worth it...
BHD#9:0	BHD#9:0				Tasty Dog!
BHD#9:1	BHD#9:1				An awesome organic dog, and a conscious eco friendly establishment.
BHD#9:2	BHD#9:2				One of the best hot dogs I have ever eaten.
BHD#9:3	BHD#9:3				Can't wait to go back.
BzG#1:0	BzG#1:0				The Cypriot restaurant has a lot going for it.
BzG#1:1	BzG#1:1				But the best pork souvlaki I ever had is the main thing.
BzG#1:2	BzG#1:2				Trust me.
BzG#1:3	BzG#1:3				Run don't walk.
EVPK#10:0	EVPK#10:0				Super YUMMY Pizza!
EVPK#10:1	EVPK#10:1				I was visiting New York City with a friend and we discovered this really warm and inviting restaurant.
EVPK#10:2	EVPK#10:2				I LOOOVE their eggplant pizza, as well as their pastas!
EVPK#10:3	EVPK#10:3				We had half/half pizza, mine was eggplant and my friend had the buffalo and it was sooo huge for a small size pizza!
EVPK#10:4	EVPK#10:4				We had fun eating in there, we were there like around 3 a.m. in the morning!
EVPK#10:5	EVPK#10:5				Will comeback for sure, wish they have it here in LA..
Z#3:0	Z#3:0				Excellent food, although the interior could use some help.
Z#3:1	Z#3:1				The space kind of feels like an Alice in Wonderland setting, without it trying to be that.
Z#3:2	Z#3:2				I paid just about $60 for a good meal, though :)
Z#3:3	Z#3:3				Great sake!
Y#7:0	Y#7:0				Reliable, Fresh Sushi
Y#7:1	Y#7:1				My husband and I take out from here 3-4 times a month.
Y#7:2	Y#7:2				The sashimi is always fresh and the rolls are innovative and delicious.
Y#7:3	Y#7:3				Have never had a problem with service save a missing rice once.
Y#7:4	Y#7:4				Delivery can be spot on or lacking depending on the weather and the day of the week.
Y#7:5	Y#7:5				Delivery guy sometimes get upset if you don't tip more than 10%.
Y#7:6	Y#7:6				We've found it to be better and fresher than Kiku which is comparable in price.
Y#3:0	Y#3:0				Best. Sushi. Ever.
Y#3:1	Y#3:1				This place has ruined me for neighborhood sushi.
Y#3:2	Y#3:2				Creative, consistent, fresh.
Y#3:3	Y#3:3				Excellent sashimi, and the millennium roll is beyond delicious.
Y#3:4	Y#3:4				Not cheap but very yummy.
Y#3:5	Y#3:5				Love it.
Y#2:0	Y#2:0				Very, very nice
Y#2:1	Y#2:1				The place is a bit hidden away, but once you get there, it's all worth it.
Y#2:2	Y#2:2				not only is the food
WE#9:0	WE#9:0				Loved It
WE#9:1	WE#9:1				My wife and I went to Water's Edge for a romantic dinner.
WE#9:2	WE#9:2				We had a very nice time.
WE#9:3	WE#9:3				The waiter was attentive, the food was delicious and the views of the city were great.
WE#9:4	WE#9:4				I'd definitely go back again.
TR#3:0	TR#3:0				Great place to relax and enjoy your dinner
TR#3:1	TR#3:1				There is something about their atmosphere that makes me come back nearly every week.
TR#3:2	TR#3:2				Place is open till late, no dress code.
TR#3:3	TR#3:3				Good food: my favorite is the seafood spaghetti.
TR#3:4	TR#3:4				Highly recommended!
TM#7:0	TM#7:0				Excellent food for great prices
TM#7:1	TM#7:1				My husband and I have been sold on this from the first visit.
TM#7:2	TM#7:2				The wait staff is very courteous and accomodating.
TM#7:3	TM#7:3				The space is limited so be prepared to wait up to 45 minutes - 1 hour, but be richly rewarded when you savor the delicious indo-chinese food.
TM#7:4	TM#7:4				There are no negatives to speak of.
RL#7:0	RL#7:0				the bestt!
RL#7:1	RL#7:1				my favorite place lol
RL#7:2	RL#7:2				i love their chicken pasta cant remember the name but is sooo good
RL#3:0	RL#3:0				its alright
RL#3:1	RL#3:1				im not necessarily fanatical about this place, but it was a fun time for low pirces.
RL#3:2	RL#3:2				lobster was good, nothing spectacular.
RL#3:3	RL#3:3				its just a fun place to go, not a five star restaraunt.
PP#9:0	PP#9:0				Way below average
PP#9:1	PP#9:1				I think the pizza is so overrated and was under cooked.
PP#9:2	PP#9:2				Had no flavor and the staff is rude and not attentive.
PP#9:3	PP#9:3				Would NEVER go back
PP#4:0	PP#4:0				I love this place
PP#4:1	PP#4:1				I wasn't here for the pizza so I can't comment on that yet but what I had was very good.
PP#4:2	PP#4:2				The service was quick and friendly.
PP#4:3	PP#4:3				Everyone was smiling so that made me feel welcome.
PP#4:4	PP#4:4				I thought the restaurant was nice and clean.
PP#4:5	PP#4:5				I ordered the vitello alla marsala and I was pretty impressed.
PP#4:6	PP#4:6				The veal and the mushrooms were cooked perfectly.
PP#4:7	PP#4:7				The potato balls were not dry at all... in fact it was buttery.
PP#4:8	PP#4:8				The only downside... they only take cash which is OK if you know about it ahead of time.
PP#4:9	PP#4:9				I'll be back for sure.
P#1:0	P#1:0				WORST PLACE ON SMITH STREET IN BROOKLYN
P#1:1	P#1:1				Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.
P#1:2	P#1:2				I would never recommend this place to anybody even for a casual dinner.
RL#9:0	RL#9:0				awesome
RL#9:1	RL#9:1				the food is always fresh ...
Y#5:0	Y#5:0				overpriced japanese food with mediocre service
Y#5:1	Y#5:1				Went here on sat 1/26 and was disappointed.
Y#5:2	Y#5:2				Chicken teriyaki had tomato or pimentos on top??
Y#5:3	Y#5:3				food was luke warm.
